id,data,label
7571,"it is provided however that a failure by the other Party to oppose or respond to the claim, in whole or in part, may constitute a rejection if, in the circumstances, the DAAB or the arbitrator, as the case may be, deem it reasonable for it to do so.",NON
7572,“Employer” means the person named as the employer in the Contract Agreement and the legal successors in title to this person.,NON
7573,"“Employer’s Equipment” means the apparatus, equipment, machinery, construction plant and vehicles to be made available by the Employer for the use of the Contractor under Sub-Clause.",NON
7574,but does not include Plant which has not been taken over under Clause.,NON
7575,"“Employer’s Personnel” means the Employer’s Representative, the assistants described in Sub-Clause and all other staff, labour and other employees of the Employer and of the Employer’s Representative, engaged in fulfilling the Employer’s obligations under the Contract.",NON
7576,"and any other personnel identified as Employer’s Personnel, by a Notice from the Employer or the Employer’s Representative to the Contractor.",NON
7577,"“Employer’s Representative” means the person named by the Employer in the Contract Data appointed by the Employer for the purposes of the Contract, or any replacement appointed under Sub-Clause.",NON
7578,"“Employer’s Requirements” means the document entitled employer’s requirements, as included in the Contract, and any additions and modifications to such document in accordance with the Contract.",NON
7579,"Such document describes the purpose for which the Works are intended, and specifies Key Personnel, the scope, and design and other performance, technical and evaluation criteria, for the Works.",NON
7580,“Employer-Supplied Materials” means the materials to be supplied by the Employer to the Contractor under Sub-Clause.,NON
7581,“Exceptional Event” means an event or circumstance as defined in Sub-Clause.,NON
7582,“Extension of Time” or “EOT” means an extension of the Time for Completion under Sub-Clause.,NON
7583,"“FIDIC” means the Fédération Internationale des Ingénieurs-Conseils, the International Federation of Consulting Engineers.",NON
7584,“Final Statement” means the Statement defined in Sub-Clause.,NON
7585,"“Foreign Currency” means a currency in which part of the Contract Price is payable, but not the Local Currency.",NON
7586,"“General Conditions” means this document entitled “Conditions of Contract for EPC/Turnkey Projects”, as published by FIDIC.",NON
7587,"“Goods” means Contractor’s Equipment, Materials, Plant and Temporary Works, or any of them as appropriate.",NON
7588,"“Joint Venture” or “JV” means a joint venture, association, consortium or other unincorporated grouping of two or more persons, whether in the form of a partnership or otherwise.",NON
7589,“JV Undertaking” means the letter provided to the Employer as part of the Tender setting out the legal undertaking between the two or more persons constituting the Contractor as a JV.,NON
7590,"This letter shall be signed by all the persons who are members of the JV, shall be addressed to the Employer.",NON
7591,This letter shall include each such member’s undertaking to be jointly and severally liable to the Employer for the performance of the Contractor’s obligations under the Contract.,NON
7592,“JV Undertaking” means the letter provided to the Employer as part of the Tender setting out the legal undertaking between the two or more persons constituting the Contractor as a JV.,NON
7593,"This letter shall be signed by all the persons who are members of the JV, shall be addressed to the Employer.",NON
7594,This letter shall include identification and authorisation of the leader of the JV.,NON
7595,“JV Undertaking” means the letter provided to the Employer as part of the Tender setting out the legal undertaking between the two or more persons constituting the Contractor as a JV.,NON
7596,"This letter shall be signed by all the persons who are members of the JV, shall be addressed to the Employer.",NON
7597,This letter shall include identification of the separate scope or part of the Works to be carried out by each member of the JV.,NON
7598,"“Key Personnel” means the positions of the Contractor’s Personnel, other than the Contractor’s Representative, that are stated in the Specification.",NON
7599,"“Laws” means all national legislation, statutes, acts, decrees, rules, ordinances, orders, treaties, international law and other laws, and regulations and by-laws of any legally constituted public authority.",NON
7600,“Local Currency” means the currency of the Country.,NON
7601,"“Materials” means things of all kinds, whether on the Site or otherwise allocated to the Contract and intended to form or forming part of the Permanent Works, including the supply-only materials to be supplied by the Contractor under the Contract.",NON
7602,“month” is a calendar month.,NON
7603,"“No-objection” means that the Employer has no objection to the Contractor’s Documents, or other documents submitted by the Contractor under these Conditions, and such Contractor’s Documents or other documents may be used for the Works.",NON
7604,“Notice” means a written communication identified as a Notice and issued in accordance with Sub-Clause.,NON
7605,"“Notice of Dissatisfaction” or “NOD” means the Notice one Party may give to the other Party if it is dissatisfied, either with an Employer’s Representative’s determination under Sub-Clause or with a DAAB’s decision under Sub-Clause.",NON
7606,"“Particular Conditions” means the document entitled particular conditions of contract included in the Contract, which consists of Part A - Contract Data and Part B – Special Provisions.",NON
7607,"“Party” means the Employer or the Contractor, as the context requires.",NON
7608,“Parties” means both the Employer and the Contractor.,NON
7609,“Performance Certificate” means the certificate issued by the Employer under Sub-Clause.,NON
7610,"“Performance Damages” means the damages to be paid by the Contractor to the Employer for the failure to achieve the guaranteed performance of the Plant and the Works or any part of the Works, as set out in the Schedule of Performance Guarantees.",NON
7611,“Performance Security” means the security under Sub-Clause.,NON
7612,“Permanent Works” means the works of a permanent nature which are to be executed by the Contractor under the Contract.,NON
7613,"“Plant” means the apparatus, equipment, machinery and vehicles whether on the Site or otherwise allocated to the Contract and intended to form or forming part of the Permanent Works.",NON
7614,“Programme” means a detailed time programme prepared and submitted by the Contractor to which the Employer has given a Notice of No-objection under Sub-Clause.,NON
7615,"“Provisional Sum” means a sum which is specified in the Contract by the Employer as a provisional sum, for the execution of any part of the Works or for the supply of Plant, Materials or services under Sub-Clause.",NON
7616,“QM System” means the Contractor’s quality management system in accordance with Sub-Clause.,NON
7617,“Retention Money” means the accumulated retention moneys which the Employer retains under Sub-Clause and pays under Sub-Clause.,NON
7618,“Review” means examination and consideration by the Employer of a Contractor’s submission in order to assess whether it complies with the Contract and with the Contractor’s obligations under or in connection with the Contract.,NON
7619,"“Schedules” means the document entitled schedules prepared by the Employer and completed by the Contractor, as attached to the Tender and included in the Contract.",NON
7620,"Such document may include data, lists and schedules of payments and rates and prices, and guarantees.",NON
7621,“Schedule of Payments” means the document entitled schedule of payments in the Schedules showing the amounts and manner of payments to be made to the Contractor.,NON
7622,"“Schedule of Performance Guarantees” means the document entitled schedule of performance guarantees in the Schedules showing the guarantees required by the Employer for performance of the Works and/ or the Plant or any part of the Works, and stating the applicable Performance Damages payable in the event of failure to attain any of the guaranteed performance.",NON
7623,“Schedule of Rates and Prices” means the document entitled schedule of rates and prices in the Schedules.,NON
7624,“Section” means a part of the Works specified in the Contract Data as a Section.,NON
7625,"“Site” means the places where the Permanent Works are to be executed and to which Plant and Materials are to be delivered, and any other places specified in the Contract as forming part of the Site.",NON
7626,"“Special Provisions” means the document, entitled special provisions which constitutes Part B of the Particular Conditions.",NON
7627,“Statement” means a statement submitted by the Contractor as part of an application for payment under Sub-Clause.,NON
7628,"“Subcontractor” means any person named in the Contract as a subcontractor, or any person appointed by the Contractor as a subcontractor or designer, for a part of the Works.",NON
7629,and the legal successors in title to each of these persons.,NON
7630,“Taking-Over Certificate” means a certificate issued by the Employer in accordance with Clause.,NON
7631,“Temporary Works” means all temporary works of every kind required on Site for the execution of the Works.,NON
7632,"“Tender” means the Contractor’s signed offer for the Works, the JV Undertaking and all other documents which the Contractor submitted with the Tender, as included in the Contract.",NON
7633,“Tests after Completion” means the tests which are stated in the Specification and which are carried out in accordance with the Special Provisions after the Works or a Section are taken over under Clause.,NON
7634,"“Tests on Completion” means the tests which are specified in the Contract or agreed by both Parties or instructed as a Variation, and which are carried out under Clause before the Works or a Section are taken over under Clause.",NON
7635,"“Time for Completion” means the time for completing the Works or a Section under Sub-Clause, as stated in the Contract Data as may be extended under Sub-Clause, calculated from the Commencement Date.",NON
7636,“Unforeseeable” means not reasonably foreseeable by an experienced contractor by the Base Date.,NON
7637,"“Variation” means any change to the Works, which is instructed as a variation under Clause.",NON
7638,"“Works” mean the Permanent Works and the Temporary Works, or either of them as appropriate.",NON
7639,“year” means 365 days.,NON
7640,"In the Contract, except where the context requires otherwise:",NON
7641,words indicating one gender include all genders.,NON
7642,"and “he”, “his” and “himself” shall be read as “he/she”, “his/her” and “himself/herself” respectively.",NON
7643,words indicating the singular also include the plural and words indicating the plural also include the singular.,NON
7644,"provisions including the word “agree”, “agreed” or “agreement” require the agreement to be recorded in writing.",NON
7645,"“written” or “in writing” means hand-written, type-written, printed or electronically made, and resulting in a permanent record.",NON
7646,“may” means that the Party or person referred to has the choice of whether to act or not in the matter referred to.,NON
7647,“shall” means that the Party or person referred to has an obligation under the Contract to perform the duty referred to.,NON
7648,"“consent” means that the Employer or the Contractor agrees to, or gives permission for, the requested matter.",NON
7649,"“including”, “include” and “includes” shall be interpreted as not being limited to, or qualified by, the stated items that follow.",NON
7650,words indicating persons or parties shall be interpreted as referring to natural and legal persons.,NON
7651,"“execute the Works” or “execution of the Works” means the design, construction and completion of the Works and the remedying of any defects.",NON
7652,"In any list in these Conditions, where the second-last item of the list is followed by “and” or “or” or “and” then all of the list items going before this item shall also be read as if they are followed by “and” or “or” or “and/or”.",NON
7653,The marginal words and other headings shall not be taken into consideration in the interpretation of these Conditions.,NON
7654,"Wherever these Conditions provide for the giving of a Notice or the issuing, providing, sending, submitting or transmitting of another type of communication, the Notice or other communication shall be in writing.",NON
7655,"the Notice shall be a paper-original signed by the Contractor’s Representative, or the Employer’s Representative.",NON
7656,"the Notice shall be an electronic original generated from any of the systems of electronic transmission stated in the Contract Data, where the electronic original is transmitted by the electronic address uniquely assigned to each of such authorised representatives or both, as stated in these Conditions.",NON
7657,"if it is a Notice, it shall be identified as a Notice.",NON
7658,"If it is another form of communication, it shall be identified as such and include reference to the provision of the Contract under which it is issued where appropriate.",NON
7659,"the Notice shall be delivered by hand, or sent by mail or courier, or transmitted using any of the systems of electronic transmission under sub-paragraph above.",NON
7660,"the Notice shall be delivered, sent or transmitted to the address for the recipient’s communications as stated in the Contract Data.",NON
7661,"However, if the recipient gives a Notice of another address, all Notices and other communications shall be delivered accordingly after the sender receives such Notice.",NON
7662,"Where these Conditions state that a Notice or NOD or other communication is to be delivered, given, issued, provided, sent, submitted or transmitted, it shall have effect when it is received at the recipient’s current address under sub-paragraph above.",NON
7663,"An electronically transmitted Notice or other communication is deemed to have been received on the day after transmission, provided no non-delivery notification was received by the sender.",NON
7664,"All Notices, and all other types of communication referred to above, shall not be unreasonably withheld or delayed.",NON
7665,"When a Notice or NOD is issued by a Party or the Employer’s Representative, the paper and electronic original shall be sent to the intended recipient and a copy shall be sent to the Employer’s Representative or the other Party, as the case may be.",OBLI-explain#OTHERS
7666,All other communications shall be copied to the Parties and the Employer’s Representative as stated under these Conditions or elsewhere in the Contract.,NON
7667,"The Contract shall be governed by the law of the country stated in the Contract Data, excluding any conflict of law rules.",NON
7668,The ruling language of the Contract shall be that stated in the Contract Data.,NON
7669,"If there are versions of any part of the Contract which are written in more than one language, the version which is in the ruling language shall prevail.",NON
7670,The language for communications shall be that stated in the Contract Data.,NON
7671,"If no language is stated there, the language for communications shall be the ruling language of the Contract.",NON
7672,The documents forming the Contract are to be taken as mutually explanatory of one another.,NON
7673,"If there is any conflict, ambiguity or discrepancy, the priority of the documents shall be in accordance with the following sequence.",NON
7674,"If a Party finds an ambiguity or discrepancy in the documents, that Party shall promptly give a Notice to the other Party, describing the ambiguity or discrepancy.",OBLI-direct#OTHERS
7675,"After giving or receiving such Notice, the Employer shall issue the necessary clarification or instruction.",EMPLOYER#OBLI-direct
7676,The Contract shall come into full force and effect on the date stated in the Contract Agreement.,NON
7677,The costs of stamp duties and similar charges imposed by law in connection with entry into the Contract Agreement shall be borne by the Employer.,EMPLOYER#OBLI-direct
7678,"If the Contractor comprises a JV, the authorised representative of each member of the JV shall sign the Contract Agreement.",OBLI-direct#OTHERS
7679,Neither Party shall assign the whole or any part of the Contract or any benefit or interest in or under the Contract.,OBLI-explain#OTHERS
7680,"However, either Party may assign the whole or any part of the Contract with the prior agreement of the other Party, at the sole discretion of such other Party.",NON
7681,"However, either Party may, as security in favour of a bank or financial institution, assign the Party’s right to any moneys due, or to become due, under the Contract without the prior agreement of the other Party.",NON
7682,"Each of the Contractor’s Documents shall be in the custody and care of the Contractor, unless and until submitted to the Employer.",CONTRACTOR#OBLI-direct
7683,"The Contractor shall supply to the Employer one paper-original, one electronic copy and additional paper copies as stated in the Contract Data of each of the Contractor’s Documents.",CONTRACTOR#OBLI-direct
7684,"The Contractor shall keep at all times, on the Site, a copy of the Contract.",CONTRACTOR#OBLI-direct
7685,"The Contractor shall keep at all times, on the Site, a copy of the records under Sub-Clause.",CONTRACTOR#OBLI-direct
7686,"The Contractor shall keep at all times, on the Site, a copy of the publications named in the Employer’s Requirements.",CONTRACTOR#OBLI-direct
7687,"The Contractor shall keep at all times, on the Site, a copy of the Contractor’s Documents.",CONTRACTOR#OBLI-direct
7688,"The Contractor shall keep at all times, on the Site, a copy of Variations, Notices and other communications given under the Contract.",CONTRACTOR#OBLI-direct
7689,"The Employer’s Personnel shall have right of access to all these documents during all normal working hours, or as otherwise agreed with the Contractor.",NON
7690,"If a Party becomes aware of an error or defect in a document which was prepared by the Contractor for use in the execution of the Works, the Party shall promptly give a Notice of such error or defect to the other Party.",OBLI-direct#OTHERS
7691,The Contractor shall then promptly rectify the error or defect at the Contractor’s risk and cost.,CONTRACTOR#OBLI-direct
7692,"As between the Parties, the Contractor shall retain the copyright and other intellectual property rights in the Contractor’s Documents and other design documents made by the Contractor.",NON
7693,"The Contractor shall be deemed to give to the Employer a non-terminable transferable non-exclusive royalty-free licence to copy, use and communicate the Contractor’s Documents and such other design documents, including making and using modifications of them.",NON
7694,This licence shall apply throughout the actual or intended operational life of the relevant parts of the Works.,NON
7695,"This licence shall entitle any person in proper possession of the relevant part of the Works to copy, use and communicate the Contractor’s Documents and such other design documents for the purposes of completing, operating, maintaining, altering, adjusting, repairing and demolishing the Works.",NON
7696,"This licence shall, in the case of Contractor’s Documents and such other design documents which are in the form of electronic or digital fles, computer programs and other software, permit their use on any computer on the Site and at the locations of the Employer and the Employer’s Representative and at other places as envisaged by the Contract.",NON
7697,"This licence shall, in the event of termination of the Contract, entitle the Employer to copy, use and communicate the Contractor’s Documents and the other design documents made by or for the Contractor.",NON
7698,"This licence shall, in the event of termination of the Contract, entitle the Employer to copy, use and communicate the Contractor’s Documents for which the Contractor has received payment for the purpose of completing the Works and arranging for any other entities to do so.",NON
7699,"The Contractor’s Documents and other design documents made by the Contractor shall not, without the Contractor’s prior consent, be used, copied or communicated to a third party by the Employer for purposes other than those permitted under this Sub-Clause.",NON
7700,"As between the Parties, the Employer shall retain the copyright and other intellectual property rights in the Employer’s Requirements and other documents made by the Employer.",NON
7701,"The Contractor may, at the Contractor’s cost, copy, use and communicate these documents for the purposes of the Contract.",NON
7702,"These documents shall not, without the Employer’s prior consent, be copied, used or communicated to a third party by the Contractor, except as necessary for the purposes of the Contract.",NON
7703,The Contractor shall disclose all such confidential and other information as the Employer may reasonably require in order to verify the Contractor’s compliance with the Contract.,CONTRACTOR#OBLI-direct
7704,"The Contractor shall treat all documents forming the Contract as confidential, except to the extent necessary to carry out the Contractor’s obligations under the Contract.",CONTRACTOR#OBLI-direct
7705,"The Contractor shall not publish, permit to be published, or disclose any particulars of the Contract in any trade or technical paper or elsewhere without the Employer’s prior consent.",CONTRACTOR#OBLI-direct
7706,"The Employer and the Employer’s Personnel shall treat all information provided by the Contractor and marked “confidential”, as confidential.",OBLI-direct#OTHERS
7707,"The Employer and the Employer’s Personnel shall not disclose or permit to be disclosed any such information to third parties, except as may be necessary when exercising the Employer’s rights under Sub-Clause.",OBLI-direct#OTHERS
7708,A Party’s obligation of confidentiality under this Sub-Clause shall not apply where the information was already in that Party’s possession without an obligation of confidentiality before receipt from the other Party.,NON
7709,A Party’s obligation of confidentiality under this Sub-Clause shall not apply where the information becomes generally available to the public through no breach of these Conditions.,NON
7710,A Party’s obligation of confidentiality under this Sub-Clause shall not apply where the information is lawfully obtained by the Party from a third party which is not bound by an obligation of confidentiality.,NON
7711,"The Contractor and the Employer shall, in performing the Contract, comply with all applicable Laws.",OBLI-direct#OTHERS
7712,Unless otherwise stated in the Employer’s Requirements:,NON
7713,"the Employer shall have obtained the planning, zoning or building permit or similar permits, permissions, licences and approvals for the Permanent Works, and any other permits, permissions, licenses and approvals described in the Employer’s Requirements as having been obtained by the Employer.",EMPLOYER#OBLI-direct
7714,"The Employer shall indemnify and hold the Contractor harmless against and from the consequences of any delay or failure to do so, unless the failure is caused by the Contractor’s failure to comply with sub-paragraph below.",EMPLOYER#OBLI-direct
7715,"the Contractor shall give all notices, pay all taxes, duties and fees, and obtain all other permits, permissions, licences and approvals, as required by the Laws in relation to the execution of the Works.",CONTRACTOR#OBLI-direct
7716,The Contractor shall indemnify and hold the Employer harmless against and from the consequences of any failure to do so unless the failure is caused by the Employer’s failure to comply with Sub-Clause.,CONTRACTOR#OBLI-direct
7717,"within the time stated in the Employer’s Requirements the Contractor shall provide such assistance and all documentation, as described in the Employer’s Requirements or otherwise reasonably required by the Employer, so as to allow the Employer to obtain any permit, permission, licence or approval under sub-paragraph above.",CONTRACTOR#OBLI-direct
7718,"the Contractor shall comply with all permits, permissions, licences and/ or approvals obtained by the Employer under sub-paragraph above.",CONTRACTOR#OBLI-direct
7719,"If, having complied with sub-paragraph above, the Contractor suffers delay and incurs Cost as a result of the Employer’s delay or failure to obtain any permit, permission, licence or approval under sub-paragraph above, the Contractor shall be entitled subject to Sub-Clause to EOT and payment of such Cost Plus Profit.",EMPLOYER#OBLI-explain
7720,If the Employer incurs additional costs as a result of the Contractor’s failure to comply with sub-paragraph above provided that the Employer shall have complied with Sub-Clause.,NON
7721,the Employer shall be entitled subject to Sub-Clause to payment of these costs by the Contractor.,CONTRACTOR#OBLI-explain
7722,If the Contractor is a Joint Venture:,NON
7723,the members of the JV shall be jointly and severally liable to the Employer for the performance of the Contractor’s obligations under the Contract.,NON
7724,the JV leader shall have authority to bind the Contractor and each member of the JV.,NON
7725,neither the members nor the scope and parts of the Works to be carried out by each member nor the legal status of the JV shall be altered without the prior consent of the Employer above.,NON
7726,"Neither Party shall be liable to the other Party for loss of use of any Works, loss of profit, loss of any contract or for any indirect or consequential loss or damage which may be suffered by the other Party in connection with the Contract.",OBLI-direct#OTHERS
7727,"The total liability of the Contractor to the Employer under or in connection with the Contract, shall not exceed the sum stated in the Contract Data or the Contract Price stated in the Contract Agreement.",NON
7728,"This Sub-Clause shall not limit liability in any case of fraud, gross negligence, deliberate default or reckless misconduct by the defaulting Party.",NON
7729,"Subject to any mandatory requirements under the governing law of the Contract, termination of the Contract under any Sub-Clause of these Conditions shall require no action of whatsoever kind by either Party other than as stated in the Sub-Clause.",NON
7730,"The Employer shall give the Contractor right of access to, and possession of, all parts of the Site within the time stated in the Contract Data.",EMPLOYER#OBLI-direct
7731,The right and possession may not be exclusive to the Contractor.,NON
7732,"If, under the Contract, the Employer is required to give possession of any foundation, structure, plant or means of access, the Employer shall do so in the time and manner stated in the Employer’s Requirements.",EMPLOYER#OBLI-direct
7733,"However, the Employer may withhold any such right or possession until the Performance Security has been received.",NON
7734,"If no such time is stated in the Contract Data, the Employer shall give the Contractor right of access to, and possession of, the Site with effect from the Commencement Date.",EMPLOYER#OBLI-direct
7735,"If the Contractor suffers delay and incurs Cost as a result of a failure by the Employer to give any such right or possession within such time, the Contractor shall be entitled subject to Sub-Clause to EOT and payment of such Cost Plus Profit.",EMPLOYER#OBLI-explain
7736,"However, if and to the extent that the Employer’s failure was caused by any error or delay by the Contractor, including an error in, or delay in the submission of, any of the applicable Contractor’s Documents, the Contractor shall not be entitled to such EOT and Cost Plus Profit.",EMPLOYER#OBLI-explain
7737,"If, under the Contract, the Employer is required to give to the Contractor possession of any foundation, structure, plant or means of access in accordance with Contractor’s Documents, the Contractor shall submit such Contractor’s Documents to the Employer in the time and manner stated in the Employer’s Requirements.",CONTRACTOR#OBLI-direct
7738,"If requested by the Contractor, the Employer shall promptly provide reasonable assistance to the Contractor so as to allow the Contractor to obtain copies of the Laws of the Country which are relevant to the Contract but are not readily available.",EMPLOYER#OBLI-direct
7739,"the Employer shall promptly provide reasonable assistance to the Contractor so as to allow the Contractor to obtain any permits, permissions, licences or approvals required by the Laws of the Country:",EMPLOYER#OBLI-direct
7740,the Employer shall promptly provide reasonable assistance which the Contractor is required to obtain under Sub-Clause.,EMPLOYER#OBLI-direct
7741,"the Employer shall promptly provide reasonable assistance for the delivery of Goods, including clearance through customs.",EMPLOYER#OBLI-direct
7742,the Employer shall promptly provide reasonable assistance for the export of Contractor’s Equipment when it is removed from the Site.,EMPLOYER#OBLI-direct
7743,The Employer shall be responsible for ensuring that the Employer’s Personnel and the Employer’s other contractors on or near the Site co-operate with the Contractor’s efforts under Sub-Clause.,EMPLOYER#OBLI-direct
7744,The Employer shall be responsible for ensuring that the Employer’s Personnel and the Employer’s other contractors comply with the same obligations which the Contractor is required to comply with under Sub-Clause and under Sub-Clause.,EMPLOYER#OBLI-direct
7745,"The Contractor may require the Employer to remove any person of the Employer’s Personnel or of the Employer’s other contractors who is found, based on reasonable evidence, to have engaged in corrupt, fraudulent, collusive or coercive practice.",CONTRACTOR#OBLI-direct
7746,The Employer’s arrangements for financing the Employer’s obligations under the Contract shall be detailed in the Contract Data.,EMPLOYER#OBLI-direct
7747,"If the Employer intends to make any material change to these financial arrangements, or has to do so because of changes in the Employer’s financial situation, the Employer shall immediately give a Notice to the Contractor with detailed supporting particulars.",EMPLOYER#OBLI-direct
7748,"the Contractor may request and the Employer shall, within 28 days after receiving this request, provide reasonable evidence that financial arrangements have been made and are being maintained which will enable the Employer to pay the part of the Contract Price remaining to be paid at that time.",EMPLOYER#OBLI-direct
7749,"The Employer shall have made available to the Contractor for information, before the Base Date, all relevant data in the Employer's possession on the topography of the Site and on sub-surface, hydrological, climatic and environmental conditions at the Site.",EMPLOYER#OBLI-direct
7750,The Employer shall promptly make available to the Contractor all such data which comes into the Employer's possession after the Base Date.,EMPLOYER#OBLI-direct
7751,"The original survey control points, lines and levels of reference shall be specified in the Employer's Requirements.",NON
7752,"The Employer shall have no responsibility for the accuracy, sufficiency or completeness of such data and items of reference, except as stated in Sub-Clause.",EMPLOYER#OBLI-direct
7753,Employer-Supplied Materials and Employer's Equipment.,NON
7754,"If Employer-Supplied Materials and Employer's Equipment are listed in the Employer's Requirements for the Contractor's use in the execution of the Works, the Employer shall make such materials and equipment available to the Contractor in accordance with the details, times, arrangements, rates and prices stated in the Employer's Requirements.",EMPLOYER#OBLI-direct
7755,"The Contractor shall be responsible for each item of Employer's Equipment whilst any of the Contractor's Personnel is operating it, driving it, directing it, using it, or in control of it.",CONTRACTOR#OBLI-direct
7756,"The Employer shall appoint the Employer's Representative who, except as otherwise stated in these Conditions, shall be deemed to act on the Employer's behalf under the Contract.",EMPLOYER#OBLI-direct
7757,"The Employer's Representative shall be vested with, and shall be deemed to have, the full authority of the Employer under the Contract except in respect of Clause.",NON
7758,"The Employer's Representative shall carry out the duties assigned to him/her, and exercise the authority delegated to him/her, by the Employer.",OBLI-direct#OTHERS
7759,The Employer's Representative shall be competent to carry out these duties and exercise this authority.,OBLI-direct#OTHERS
7760,The Employer's Representative shall act as a skilled professional.,NON
7761,The Employer's Representative shall be fluent in the ruling language defined in Sub-Clause.,NON
7762,"Where the Employer’s Representative is a legal entity, the Employer’s Representative shall give a Notice to the Parties of the natural person appointed and authorised to act on its behalf.",OBLI-direct#OTHERS
7763,The authority shall not take effect until this Notice has been received by both Parties.,NON
7764,The Employer’s Representative shall similarly give a Notice of any revocation of such authority.,NON
7765,"If the Employer wishes to replace any person appointed as the Employer’s Representative, the Employer shall, not less than 14 days before the intended date of replacement, give a Notice to the Contractor of the replacement’s name, address, duties and authority, and of the date of appointment.",EMPLOYER#OBLI-direct
7766,The Employer shall not replace the Employer’s Representative with a person against whom the Contractor has raised reasonable objection by a Notice under this Sub-Clause.,EMPLOYER#OBLI-direct
7767,"The Employer or the Employer's Representative may from time to time assign duties and delegate authority to assistants, and may also revoke such assignment or delegation, by giving a Notice to the Contractor of the name, assigned duties and delegated authority of the assistant.",NON
7768,"The assignment, delegation or revocation shall not take effect until this Notice has been received by the Contractor.",NON
7769,"However, the Employer's Representative shall not delegate the authority to act under Sub-Clause.",OBLI-direct#OTHERS
7770,"However, the Employer's Representative shall not delegate the authority to issue a Notice to Correct under Sub-Clause.",OBLI-direct#OTHERS
